cell_subtype_key,cell_subtype,cell_type,cell_type_code,cell_type_label,cell_type1,cell_type2,Source
BA,Basophil,basophil,BA,0,basophils,basophils,article
EO,Eosinophils,eosinophil,EO,1,eosinophils,eosinophils,article
ERB,Erythroblast,erythroblast,ER,2,erythroblasts,erythroblasts,article
IG,immature granulocytes,ig,IG,3,"immature granulocytes (metamyelocytes, myelocytes and promyelocytes)",immature granulocytes,article
MMY,Metamyelocyte,ig,IG,3,"immature granulocytes (metamyelocytes, myelocytes and promyelocytes)",immature granulocytes,article
MY,Myelocyte,ig,IG,3,"immature granulocytes (metamyelocytes, myelocytes and promyelocytes)",immature granulocytes,article
PMY,Promyelocyte,ig,IG,3,"immature granulocytes (metamyelocytes, myelocytes and promyelocytes)",immature granulocytes,article
LY,Lymphocyte,lymphocyte,LY,4,lymphocytes,lymphocytes,article
MO,Monocyte,monocyte,MO,5,monocytes,monocytes,article
BNE,Band neutrophils,neutrophil,NE,6,neutrophils,neutrophils,article
DS,Neutrophil,neutrophil,NE,6,neutrophils,neutrophils,article
NEUTROPHIL,Neutrophil,neutrophil,NE,6,neutrophils,neutrophils,article
SNE,Segmented neutrophils,neutrophil,NE,6,neutrophils,neutrophils,article
PLATELET,platelets (thrombocytes),platelet,PL,7,platelets (thrombocytes),thrombocytes,article
ERC,Thrombocyte aggregation,platelet,PL,7,platelets (thrombocytes),thrombocytes,kaggle
SMU,Smudge cells,Other,,,Other,Smudge,kaggle
PMO,Promonocyte,ig,,,Other,monocytes,kaggle
PLY,Prolymphocyte,ig,,,Other,lymphocytes,kaggle
PC,Plasma cells,ig,,,Other,lymphocytes,kaggle
VLY,"Lymphocyte, variant",lymphocyte,,,lymphocytes,lymphocytes,kaggle
GT,Giant thrombocyte,platelet,,,platelets (thrombocytes),thrombocytes,kaggle
BL,"Blast, no lineage spec",Blast,,,Blast,Blast,kaggle
ART,Arifact,Other,,,Other,Arifact,kaggle
